Second,Volt
-0.0060816,5.28
-0.0060808,5.28
-0.00608,5.32
-0.0060792,5.24
-0.0060784,5.32
-0.0060776,5.28
-0.0060768,5.28
-0.006076,5.28
-0.0060752,5.28
-0.0060744,5.28
-0.0060736,5.28
-0.0060728,5.32
-0.006072,5.32
-0.0060712,5.28
-0.0060704,5.32
-0.0060696,5.28
-0.0060688,5.28
-0.006068,5.28
-0.0060672,5.32
-0.0060664,5.28
-0.0060656,5.28
-0.0060648,5.32
-0.006064,5.32
-0.0060632,5.28
-0.0060624,5.28
-0.0060616,5.28
-0.0060608,5.28
-0.00606,5.28
-0.0060592,5.28
-0.0060584,5.28
-0.0060576,5.28
-0.0060568,5.28
-0.006056,5.32
-0.0060552,5.28
-0.0060544,5.28
-0.0060536,5.28
-0.0060528,5.28
-0.006052,5.24
-0.0060512,5.32
-0.0060504,5.28
-0.0060496,5.28
-0.0060488,5.32
-0.006048,5.24
-0.0060472,5.32
-0.0060464,5.32
-0.0060456,5.32
-0.0060448,5.28
-0.006044,5.28
-0.0060432,5.28
-0.0060424,5.28
-0.0060416,5.28
-0.0060408,5.24
-0.00604,5.28
-0.0060392,5.28
-0.0060384,5.32
-0.0060376,5.28
-0.0060368,5.28
-0.006036,5.32
-0.0060352,5.28
-0.0060344,5.32
-0.0060336,5.28
-0.0060328,5.28
-0.006032,5.32
-0.0060312,5.32
-0.0060304,5.28
-0.0060296,5.28
-0.0060288,5.28
-0.006028,5.44
-0.0060272,5.28
-0.0060264,5.28
-0.0060256,5.28
-0.0060248,5.28
-0.006024,5.28
-0.0060232,5.32
-0.0060224,5.28
-0.0060216,5.28
-0.0060208,5.28
-0.00602,5.28
-0.0060192,5.32
-0.0060184,5.32
-0.0060176,5.32
-0.0060168,5.28
-0.006016,5.28
-0.0060152,5.28
-0.0060144,5.28
-0.0060136,5.32
-0.0060128,5.28
-0.006012,5.24
-0.0060112,5.28
-0.0060104,5.28
-0.0060096,5.28
-0.0060088,5.28
-0.006008,5.32
-0.0060072,5.32
-0.0060064,5.28
-0.0060056,5.28
-0.0060048,5.28
-0.006004,5.28
-0.0060032,5.32
-0.0060024,5.28
-0.0060016,5.32
-0.0060008,5.32
-0.006,5.24
-0.0059992,5.28
-0.0059984,5.28
-0.0059976,5.48
-0.0059968,5.2
-0.005996,5.32
-0.0059952,5.28
-0.0059944,5.28
-0.0059936,5.32
-0.0059928,5.28
-0.005992,5.28
-0.0059912,5.28
-0.0059904,5.32
-0.0059896,5.28
-0.0059888,5.32
-0.005988,5.28
-0.0059872,5.28
-0.0059864,5.28
-0.0059856,5.28
-0.0059848,5.28
-0.005984,5.32
-0.0059832,5.28
-0.0059824,5.28
-0.0059816,5.32
-0.0059808,5.32
-0.00598,5.28
-0.0059792,5.32
-0.0059784,5.28
-0.0059776,5.2
-0.0059768,5.28
-0.005976,5.28
-0.0059752,5.28
-0.0059744,5.28
-0.0059736,5.28
-0.0059728,5.28
-0.005972,5.24
-0.0059712,5.28
-0.0059704,5.24
-0.0059696,5.28
-0.0059688,5.28
-0.005968,5.28
-0.0059672,5.28
-0.0059664,5.28
-0.0059656,5.28
-0.0059648,5.28
-0.005964,5.28
-0.0059632,5.28
-0.0059624,5.28
-0.0059616,5.28
-0.0059608,5.32
-0.00596,5.24
-0.0059592,5.28
-0.0059584,5.28
-0.0059576,5.28
-0.0059568,5.32
-0.005956,5.24
-0.0059552,5.28
-0.0059544,5.28
-0.0059536,5.28
-0.0059528,5.28
-0.005952,5.28
-0.0059512,5.24
-0.0059504,5.32
-0.0059496,5.28
-0.0059488,5.28
-0.005948,5.32
-0.0059472,5.28
-0.0059464,5.24
-0.0059456,5.32
-0.0059448,5.28
-0.005944,5.28
-0.0059432,5.28
-0.0059424,5.28
-0.0059416,5.28
-0.0059408,5.32
-0.00594,5.28
-0.0059392,5.28
-0.0059384,5.32
-0.0059376,5.48
-0.0059368,5.2
-0.005936,5.28
-0.0059352,5.28
-0.0059344,5.28
-0.0059336,5.28
-0.0059328,5.28
-0.005932,5.24
-0.0059312,5.28
-0.0059304,5.28
-0.0059296,5.28
-0.0059288,5.28
-0.005928,5.28
-0.0059272,5.28
-0.0059264,5.32
-0.0059256,5.28
-0.0059248,5.32
-0.005924,5.28
-0.0059232,5.24
-0.0059224,5.28
-0.0059216,5.28
-0.0059208,5.24
-0.00592,5.28
-0.0059192,5.28
-0.0059184,5.28
-0.0059176,5.28
-0.0059168,5.28
-0.005916,5.32
-0.0059152,5.28
-0.0059144,5.32
-0.0059136,5.24
-0.0059128,5.28
-0.005912,5.28
-0.0059112,5.32
-0.0059104,5.28
-0.0059096,5.28
-0.0059088,5.32
-0.005908,5.28
-0.0059072,5.32
-0.0059064,5.28
-0.0059056,5.28
-0.0059048,5.24
-0.005904,5.32
-0.0059032,5.28
-0.0059024,5.32
-0.0059016,5.28
-0.0059008,5.28
-0.0059,5.32
-0.0058992,5.28
-0.0058984,5.28
-0.0058976,5.28
-0.0058968,5.28
-0.005896,5.28
-0.0058952,5.28
-0.0058944,5.28
-0.0058936,5.32
-0.0058928,5.28
-0.005892,5.28
-0.0058912,5.28
-0.0058904,5.28
-0.0058896,5.28
-0.0058888,5.28
-0.005888,5.28
-0.0058872,5.36
-0.0058864,5.32
-0.0058856,5.28
-0.0058848,5.28
-0.005884,5.28
-0.0058832,5.28
-0.0058824,5.28
-0.0058816,5.28
-0.0058808,5.28
-0.00588,5.32
-0.0058792,5.28
-0.0058784,5.28
-0.0058776,5.28
-0.0058768,5.32
-0.005876,5.28
-0.0058752,5.28
-0.0058744,5.28
-0.0058736,5.28
-0.0058728,5.28
-0.005872,5.28
-0.0058712,5.32
-0.0058704,5.24
-0.0058696,5.24
-0.0058688,5.28
-0.005868,5.28
-0.0058672,5.32
-0.0058664,5.28
-0.0058656,5.32
-0.0058648,5.28
-0.005864,5.28
-0.0058632,5.32
-0.0058624,5.32
-0.0058616,5.28
-0.0058608,5.28
-0.00586,5.28
-0.0058592,5.28
-0.0058584,5.28
-0.0058576,5.28
-0.0058568,5.28
-0.005856,5.28
-0.0058552,5.28
-0.0058544,5.28
-0.0058536,5.28
-0.0058528,5.28
-0.005852,5.32
-0.0058512,5.24
-0.0058504,5.28
-0.0058496,5.32
-0.0058488,5.28
-0.005848,5.32
-0.0058472,5.28
-0.0058464,5.36
-0.0058456,5.24
-0.0058448,5.28
-0.005844,5.24
-0.0058432,5.28
-0.0058424,5.28
-0.0058416,5.28
-0.0058408,5.28
-0.00584,5.28
-0.0058392,5.24
-0.0058384,5.28
-0.0058376,5.28
-0.0058368,5.28
-0.005836,5.32
-0.0058352,5.28
-0.0058344,5.32
-0.0058336,5.28
-0.0058328,5.24
-0.005832,5.28
-0.0058312,5.28
-0.0058304,5.28
-0.0058296,5.28
-0.0058288,5.28
-0.005828,5.28
-0.0058272,5.28
-0.0058264,5.28
-0.0058256,5.32
-0.0058248,5.28
-0.005824,5.24
-0.0058232,5.28
-0.0058224,5.32
-0.0058216,5.28
-0.0058208,5.32
-0.00582,5.28
-0.0058192,5.32
-0.0058184,5.28
-0.0058176,5.28
-0.0058168,5.28
-0.005816,5.28
-0.0058152,5.28
-0.0058144,5.28
-0.0058136,5.28
-0.0058128,5.28
-0.005812,5.32
-0.0058112,5.28
-0.0058104,5.28
-0.0058096,5.28
-0.0058088,5.32
-0.005808,5.28
-0.0058072,5.28
-0.0058064,5.28
-0.0058056,5.28
-0.0058048,5.28
-0.005804,5.32
-0.0058032,5.28
-0.0058024,5.28
-0.0058016,5.28
-0.0058008,5.28
-0.0058,5.28
-0.0057992,5.28
-0.0057984,5.28
-0.0057976,5.24
-0.0057968,5.28
-0.005796,5.28
-0.0057952,5.28
-0.0057944,5.28
-0.0057936,5.28
-0.0057928,5.28
-0.005792,5.28
-0.0057912,5.28
-0.0057904,5.28
-0.0057896,5.28
-0.0057888,5.32
-0.005788,5.28
-0.0057872,5.28
-0.0057864,5.28
-0.0057856,5.44
-0.0057848,5.24
-0.005784,5.32
-0.0057832,5.28
-0.0057824,5.24
-0.0057816,5.24
-0.0057808,5.28
-0.00578,5.28
-0.0057792,5.28
-0.0057784,5.28
-0.0057776,5.24
-0.0057768,5.28
-0.005776,5.28
-0.0057752,5.32
-0.0057744,5.32
-0.0057736,5.24
-0.0057728,5.28
-0.005772,5.28
-0.0057712,5.28
-0.0057704,5.28
-0.0057696,5.28
-0.0057688,5.28
-0.005768,5.28
-0.0057672,5.28
-0.0057664,5.32
-0.0057656,5.28
-0.0057648,5.32
-0.005764,5.32
-0.0057632,5.32
-0.0057624,5.28
-0.0057616,5.32
-0.0057608,5.32
-0.00576,5.28
-0.0057592,5.28
-0.0057584,5.32
-0.0057576,5.28
-0.0057568,5.32
-0.005756,5.28
-0.0057552,5.32
-0.0057544,5.24
-0.0057536,5.28
-0.0057528,5.28
-0.005752,5.32
-0.0057512,5.32
-0.0057504,5.32
-0.0057496,5.28
-0.0057488,5.24
-0.005748,5.28
-0.0057472,5.28
-0.0057464,5.28
-0.0057456,5.28
-0.0057448,5.36
-0.005744,5.28
-0.0057432,5.28
-0.0057424,5.28
-0.0057416,5.32
-0.0057408,5.32
-0.00574,5.28
-0.0057392,5.28
-0.0057384,5.28
-0.0057376,5.28
-0.0057368,5.28
-0.005736,5.28
-0.0057352,5.28
-0.0057344,5.32
-0.0057336,5.28
-0.0057328,5.28
-0.005732,5.32
-0.0057312,5.28
-0.0057304,5.28
-0.0057296,5.28
-0.0057288,5.28
-0.005728,5.28
-0.0057272,5.32
-0.0057264,5.28
-0.0057256,5.28
-0.0057248,5.4
-0.005724,5.24
-0.0057232,5.32
-0.0057224,5.28
-0.0057216,5.32
-0.0057208,5.28
-0.00572,5.28
-0.0057192,5.28
-0.0057184,5.28
-0.0057176,5.28
-0.0057168,5.28
-0.005716,5.32
-0.0057152,5.28
-0.0057144,5.32
-0.0057136,5.28
-0.0057128,5.28
-0.005712,5.24
-0.0057112,5.28
-0.0057104,5.28
-0.0057096,5.28
-0.0057088,5.28
-0.005708,5.28
-0.0057072,5.28
-0.0057064,5.28
-0.0057056,5.28
-0.0057048,5.28
-0.005704,5.28
-0.0057032,5.28
-0.0057024,5.28
-0.0057016,5.28
-0.0057008,5.28
-0.0057,5.28
-0.0056992,5.28
-0.0056984,5.28
-0.0056976,5.28
-0.0056968,5.28
-0.005696,5.28
-0.0056952,5.28
-0.0056944,5.4
-0.0056936,5.24
-0.0056928,5.28
-0.005692,5.28
-0.0056912,5.28
-0.0056904,5.28
-0.0056896,5.24
-0.0056888,5.28
-0.005688,5.28
-0.0056872,5.28
-0.0056864,5.24
-0.0056856,5.28
-0.0056848,5.28
-0.005684,5.32
-0.0056832,5.28
-0.0056824,5.28
-0.0056816,5.28
-0.0056808,5.28
-0.00568,5.24
-0.0056792,5.32
-0.0056784,5.24
-0.0056776,5.28
-0.0056768,5.24
-0.005676,5.28
-0.0056752,5.28
-0.0056744,5.32
-0.0056736,5.28
-0.0056728,5.32
-0.005672,5.32
-0.0056712,5.28
-0.0056704,5.28
-0.0056696,5.28
-0.0056688,5.24
-0.005668,5.28
-0.0056672,5.24
-0.0056664,5.28
-0.0056656,5.28
-0.0056648,5.32
-0.005664,5.32
-0.0056632,5.28
-0.0056624,5.28
-0.0056616,5.28
-0.0056608,5.28
-0.00566,5.28
-0.0056592,5.28
-0.0056584,5.28
-0.0056576,5.28
-0.0056568,5.28
-0.005656,5.28
-0.0056552,5.28
-0.0056544,5.32
-0.0056536,5.28
-0.0056528,5.28
-0.005652,5.28
-0.0056512,5.28
-0.0056504,5.28
-0.0056496,5.28
-0.0056488,5.28
-0.005648,5.28
-0.0056472,5.28
-0.0056464,5.28
-0.0056456,5.24
-0.0056448,5.36
-0.005644,5.2
-0.0056432,5.28
-0.0056424,5.28
-0.0056416,5.28
-0.0056408,5.28
-0.00564,5.24
-0.0056392,5.28
-0.0056384,5.28
-0.0056376,5.28
-0.0056368,5.28
-0.005636,5.28
-0.0056352,5.32
-0.0056344,5.32
-0.0056336,5.28
-0.0056328,5.28
-0.005632,5.28
-0.0056312,5.28
-0.0056304,5.24
-0.0056296,5.28
-0.0056288,5.28
-0.005628,5.28
-0.0056272,5.28
-0.0056264,5.32
-0.0056256,5.28
-0.0056248,5.32
-0.005624,5.28
-0.0056232,5.28
-0.0056224,5.28
-0.0056216,5.32
-0.0056208,5.28
-0.00562,5.28
-0.0056192,5.28
-0.0056184,5.28
-0.0056176,5.24
-0.0056168,5.28
-0.005616,5.28
-0.0056152,5.28
-0.0056144,5.28
-0.0056136,5.28
-0.0056128,5.28
-0.005612,5.28
-0.0056112,5.32
-0.0056104,5.28
-0.0056096,5.28
-0.0056088,5.28
-0.005608,5.28
-0.0056072,5.28
-0.0056064,5.28
-0.0056056,5.28
-0.0056048,5.28
-0.005604,5.32
-0.0056032,5.32
-0.0056024,5.28
-0.0056016,5.28
-0.0056008,5.24
-0.0056,5.28
-0.0055992,5.28
-0.0055984,5.28
-0.0055976,5.24
-0.0055968,5.28
-0.005596,5.28
-0.0055952,5.24
-0.0055944,5.28
-0.0055936,5.28
-0.0055928,5.28
-0.005592,5.28
-0.0055912,5.32
-0.0055904,5.28
-0.0055896,5.28
-0.0055888,5.28
-0.005588,5.28
-0.0055872,5.28
-0.0055864,5.28
-0.0055856,5.28
-0.0055848,5.28
-0.005584,5.28
-0.0055832,5.28
-0.0055824,5.28
-0.0055816,5.28
-0.0055808,5.28
-0.00558,5.28
-0.0055792,5.28
-0.0055784,5.24
-0.0055776,5.28
-0.0055768,5.24
-0.005576,5.32
-0.0055752,5.28
-0.0055744,5.28
-0.0055736,5.32
-0.0055728,5.32
-0.005572,5.28
-0.0055712,5.28
-0.0055704,5.28
-0.0055696,5.28
-0.0055688,5.28
-0.005568,5.28
-0.0055672,5.28
-0.0055664,5.28
-0.0055656,5.32
-0.0055648,5.28
-0.005564,5.28
-0.0055632,5.36
-0.0055624,5.24
-0.0055616,5.28
-0.0055608,5.28
-0.00556,5.24
-0.0055592,5.28
-0.0055584,5.28
-0.0055576,5.2
-0.0055568,5.28
-0.005556,5.24
-0.0055552,5.28
-0.0055544,5.28
-0.0055536,5.28
-0.0055528,5.2
-0.005552,5.28
-0.0055512,5.28
-0.0055504,5.32
-0.0055496,5.28
-0.0055488,5.28
-0.005548,5.24
-0.0055472,5.28
-0.0055464,5.24
-0.0055456,5.32
-0.0055448,5.32
-0.005544,5.24
-0.0055432,5.28
-0.0055424,5.28
-0.0055416,5.32
-0.0055408,5.28
-0.00554,5.28
-0.0055392,5.32
-0.0055384,5.28
-0.0055376,5.28
-0.0055368,5.28
-0.005536,5.28
-0.0055352,5.24
-0.0055344,5.32
-0.0055336,5.32
-0.0055328,5.2
-0.005532,5.32
-0.0055312,5.24
-0.0055304,5.28
-0.0055296,5.28
-0.0055288,5.28
-0.005528,5.28
-0.0055272,5.28
-0.0055264,5.28
-0.0055256,5.32
-0.0055248,5.28
-0.005524,5.32
-0.0055232,5.28
-0.0055224,5.32
-0.0055216,5.28
-0.0055208,5.28
-0.00552,5.28
-0.0055192,5.28
-0.0055184,5.28
-0.0055176,5.24
-0.0055168,5.28
-0.005516,5.28
-0.0055152,5.28
-0.0055144,5.28
-0.0055136,5.28
-0.0055128,5.28
-0.005512,5.24
-0.0055112,5.28
-0.0055104,5.24
-0.0055096,5.24
-0.0055088,5.24
-0.005508,5.28
-0.0055072,5.24
-0.0055064,5.28
-0.0055056,5.24
-0.0055048,5.28
-0.005504,5.24
-0.0055032,5.24
-0.0055024,5.32
-0.0055016,5.28
-0.0055008,5.28
-0.0055,5.28
-0.0054992,5.24
-0.0054984,5.28
-0.0054976,5.28
-0.0054968,5.24
-0.005496,5.24
-0.0054952,5.28
-0.0054944,5.28
-0.0054936,5.32
-0.0054928,5.28
-0.005492,5.28
-0.0054912,5.28
-0.0054904,5.28
-0.0054896,5.28
-0.0054888,5.28
-0.005488,5.2
-0.0054872,5.28
-0.0054864,5.28
-0.0054856,5.2
-0.0054848,5.28
-0.005484,5.24
-0.0054832,5.28
-0.0054824,5.44
-0.0054816,5.2
-0.0054808,5.28
-0.00548,5.24
-0.0054792,5.24
-0.0054784,5.24
-0.0054776,5.24
-0.0054768,5.28
-0.005476,5.24
-0.0054752,5.24
-0.0054744,5.28
-0.0054736,5.24
-0.0054728,5.28
-0.005472,5.2
-0.0054712,5.28
-0.0054704,5.2
-0.0054696,5.28
-0.0054688,5.24
-0.005468,5.28
-0.0054672,5.24
-0.0054664,5.28
-0.0054656,5.24
-0.0054648,5.24
-0.005464,5.32
-0.0054632,5.28
-0.0054624,5.24
-0.0054616,5.28
-0.0054608,5.24
-0.00546,5.24
-0.0054592,5.24
-0.0054584,5.28
-0.0054576,5.24
-0.0054568,5.28
-0.005456,5.28
-0.0054552,5.28
-0.0054544,5.28
-0.0054536,5.28
-0.0054528,5.24
-0.005452,5.24
-0.0054512,5.28
-0.0054504,5.28
-0.0054496,5.28
-0.0054488,5.24
-0.005448,5.28
-0.0054472,5.28
-0.0054464,5.24
-0.0054456,5.28
-0.0054448,5.24
-0.005444,5.24
-0.0054432,5.28
-0.0054424,5.24
-0.0054416,5.36
-0.0054408,5.28
-0.00544,5.28
-0.0054392,5.24
-0.0054384,5.24
-0.0054376,5.24
-0.0054368,5.24
-0.005436,5.24
-0.0054352,5.24
-0.0054344,5.28
-0.0054336,5.28
-0.0054328,5.24
-0.005432,5.32
-0.0054312,5.2
-0.0054304,5.28
-0.0054296,5.24
-0.0054288,5.24
-0.005428,5.28
-0.0054272,5.28
-0.0054264,5.28
-0.0054256,5.2
-0.0054248,5.28
-0.005424,5.24
-0.0054232,5.28
-0.0054224,5.28
-0.0054216,5.24
-0.0054208,5.28
-0.00542,5.28
-0.0054192,5.2
-0.0054184,5.28
-0.0054176,5.24
-0.0054168,5.24
-0.005416,5.24
-0.0054152,5.28
-0.0054144,5.28
-0.0054136,5.2
-0.0054128,5.24
-0.005412,5.24
-0.0054112,5.44
-0.0054104,5.2
-0.0054096,5.28
-0.0054088,5.28
-0.005408,5.24
-0.0054072,5.28
-0.0054064,5.28
-0.0054056,5.28
-0.0054048,5.28
-0.005404,5.28
-0.0054032,5.2
-0.0054024,5.28
-0.0054016,5.24
-0.0054008,5.24
-0.0054,5.24
-0.0053992,5.28
-0.0053984,5.24
-0.0053976,5.24
-0.0053968,5.24
-0.005396,5.2
-0.0053952,5.2
-0.0053944,5.2
-0.0053936,5.28
-0.0053928,5.28
-0.005392,5.24
-0.0053912,5.36
-0.0053904,5.2
-0.0053896,5.28
-0.0053888,5.24
-0.005388,5.28
-0.0053872,5.28
-0.0053864,5.28
-0.0053856,5.24
-0.0053848,5.28
-0.005384,5.28
-0.0053832,5.2
-0.0053824,5.28
-0.0053816,5.28
-0.0053808,5.2
-0.00538,5.24
-0.0053792,5.24
-0.0053784,5.28
-0.0053776,5.24
-0.0053768,5.2
-0.005376,5.28
-0.0053752,5.24
-0.0053744,5.2
-0.0053736,5.28
-0.0053728,5.24
-0.005372,5.24
-0.0053712,5.24
-0.0053704,5.2
-0.0053696,5.28
-0.0053688,5.24
-0.005368,5.2
-0.0053672,5.24
-0.0053664,5.24
-0.0053656,5.2
-0.0053648,5.24
-0.005364,5.28
-0.0053632,5.24
-0.0053624,5.28
-0.0053616,5.32
-0.0053608,5.32
-0.00536,5.24
-0.0053592,5.28
-0.0053584,5.28
-0.0053576,5.24
-0.0053568,5.2
-0.005356,5.28
-0.0053552,5.2
-0.0053544,5.24
-0.0053536,5.28
-0.0053528,5.2
-0.005352,5.24
-0.0053512,5.24
-0.0053504,5.28
-0.0053496,5.28
-0.0053488,5.24
-0.005348,5.24
-0.0053472,5.28
-0.0053464,5.2
-0.0053456,5.24
-0.0053448,5.24
-0.005344,5.2
-0.0053432,5.24
-0.0053424,5.2
-0.0053416,5.24
-0.0053408,5.24
-0.00534,5.28
-0.0053392,5.2
-0.0053384,5.28
-0.0053376,5.24
-0.0053368,5.24
-0.005336,5.28
-0.0053352,5.24
-0.0053344,5.24
-0.0053336,5.28
-0.0053328,5.24
-0.005332,5.24
-0.0053312,5.28
-0.0053304,5.44
-0.0053296,5.2
-0.0053288,5.28
-0.005328,5.24
-0.0053272,5.24
-0.0053264,5.24
-0.0053256,5.24
-0.0053248,5.28
-0.005324,5.2
-0.0053232,5.24
-0.0053224,5.28
-0.0053216,5.24
-0.0053208,5.28
-0.00532,5.28
-0.0053192,5.28
-0.0053184,5.24
-0.0053176,5.24
-0.0053168,5.2
-0.005316,5.28
-0.0053152,5.24
-0.0053144,5.2
-0.0053136,5.24
-0.0053128,5.28
-0.005312,5.24
-0.0053112,5.28
-0.0053104,5.24
-0.0053096,5.28
-0.0053088,5.24
-0.005308,5.24
-0.0053072,5.28
-0.0053064,5.2
-0.0053056,5.24
-0.0053048,5.24
-0.005304,5.24
-0.0053032,5.28
-0.0053024,5.24
-0.0053016,5.28
-0.0053008,5.24
-0.0053,5.44
-0.0052992,5.2
-0.0052984,5.24
-0.0052976,5.28
-0.0052968,5.24
-0.005296,5.28
-0.0052952,5.28
-0.0052944,5.24
-0.0052936,5.28
-0.0052928,5.28
-0.005292,5.28
-0.0052912,5.28
-0.0052904,5.24
-0.0052896,5.28
-0.0052888,5.28
-0.005288,5.24
-0.0052872,5.24
-0.0052864,5.24
-0.0052856,5.24
-0.0052848,5.28
-0.005284,5.28
-0.0052832,5.24
-0.0052824,5.28
-0.0052816,5.24
-0.0052808,5.24
-0.00528,5.28
-0.0052792,5.28
-0.0052784,5.24
-0.0052776,5.24
-0.0052768,5.28
-0.005276,5.24
-0.0052752,5.24
-0.0052744,5.28
-0.0052736,5.24
-0.0052728,5.28
-0.005272,5.24
-0.0052712,5.24
-0.0052704,5.28
-0.0052696,5.44
-0.0052688,5.16
-0.005268,5.28
-0.0052672,5.24
-0.0052664,5.24
-0.0052656,5.28
-0.0052648,5.24
-0.005264,5.24
-0.0052632,5.28
-0.0052624,5.28
-0.0052616,5.28
-0.0052608,5.28
-0.00526,5.24
-0.0052592,5.28
-0.0052584,5.28
-0.0052576,5.2
-0.0052568,5.28
-0.005256,5.24
-0.0052552,5.24
-0.0052544,5.2
-0.0052536,5.24
-0.0052528,5.2
-0.005252,5.24
-0.0052512,5.28
-0.0052504,5.28
-0.0052496,5.32
-0.0052488,5.16
-0.005248,5.32
-0.0052472,5.24
-0.0052464,5.24
-0.0052456,5.28
-0.0052448,5.28
-0.005244,5.2
-0.0052432,5.24
-0.0052424,5.28
-0.0052416,5.28
-0.0052408,5.24
-0.00524,5.28
-0.0052392,5.24
-0.0052384,5.28
-0.0052376,5.24
-0.0052368,5.24
-0.005236,5.28
-0.0052352,5.24
-0.0052344,5.24
-0.0052336,5.2
-0.0052328,5.24
-0.005232,5.2
-0.0052312,5.28
-0.0052304,5.24
-0.0052296,5.24
-0.0052288,5.28
-0.005228,5.2
-0.0052272,5.28
-0.0052264,5.28
-0.0052256,5.28
-0.0052248,5.28
-0.005224,5.24
-0.0052232,5.24
-0.0052224,5.28
-0.0052216,5.28
-0.0052208,5.24
-0.00522,5.24
-0.0052192,5.32
-0.0052184,5.28
-0.0052176,5.24
-0.0052168,5.28
-0.005216,5.28
-0.0052152,5.28
-0.0052144,5.24
-0.0052136,5.28
-0.0052128,5.24
-0.005212,5.28
-0.0052112,5.28
-0.0052104,5.28
-0.0052096,5.28
-0.0052088,5.24
-0.005208,5.28
-0.0052072,5.24
-0.0052064,5.28
-0.0052056,5.32
-0.0052048,5.2
-0.005204,5.28
-0.0052032,5.2
-0.0052024,5.24
-0.0052016,5.24
-0.0052008,5.28
-0.0052,5.28
-0.0051992,5.44
-0.0051984,5.2
-0.0051976,5.28
-0.0051968,5.2
-0.005196,5.24
-0.0051952,5.24
-0.0051944,5.24
-0.0051936,5.28
-0.0051928,5.2
-0.005192,5.28
-0.0051912,5.2
-0.0051904,5.2
-0.0051896,5.2
-0.0051888,5.32
-0.005188,5.28
-0.0051872,5.28
-0.0051864,5.28
-0.0051856,5.24
-0.0051848,5.24
-0.005184,5.24
-0.0051832,5.24
-0.0051824,5.28
-0.0051816,5.24
-0.0051808,5.24
-0.00518,5.28
-0.0051792,5.24
-0.0051784,5.2
-0.0051776,5.28
-0.0051768,5.24
